method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.363 (0.006),0.661 (0.001),0.513 (0.004),0.0064 (0.0000),0.033 (0.003),0.993 (0.002),0.148 (0.013),0.493 (0.006),0.394 (0.005),0.399 (0.022),0.154 (0.016),1.320 (0.134),52.06 (3.47)
PLS,4.60 (0.40),0.000 (0.000),1.600 (0.400),1.327 (0.041),0.662 (0.001),0.727 (0.010),0.0091 (0.0001),0.503 (0.004),0.401 (0.011),2.235 (0.022),0.495 (0.006),0.397 (0.005),0.388 (0.024),0.146 (0.018),NA,50.10 (2.29)
SPC,5.60 (0.93),0.500 (0.167),2.600 (0.933),0.414 (0.013),2.134 (0.035),0.900 (0.011),0.0112 (0.0001),0.158 (0.037),0.856 (0.058),0.703 (0.165),0.495 (0.006),0.396 (0.005),0.393 (0.023),0.145 (0.020),5.305 (1.466),480.40 (26.60)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.363 (0.006),0.661 (0.001),0.511 (0.004),0.0064 (0.0000),0.034 (0.003),0.993 (0.002),0.149 (0.012),0.493 (0.006),0.394 (0.005),0.399 (0.022),0.154 (0.016),1.423 (0.119),464.06 (22.26)
