method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.400 (0.004),0.662 (0.001),0.518 (0.003),0.0065 (0.0000),0.042 (0.004),0.987 (0.002),0.190 (0.016),0.502 (0.008),0.400 (0.006),0.405 (0.024),0.158 (0.018),1.550 (0.221),5.55 (0.76)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),0.965 (0.032),0.985 (0.039),0.989 (0.027),0.0080 (0.0002),0.115 (0.005),0.952 (0.007),0.515 (0.022),0.509 (0.007),0.405 (0.005),0.394 (0.026),0.132 (0.026),NA,5.13 (0.53)
SPC,5.80 (0.80),0.300 (0.153),2.800 (0.800),0.573 (0.046),2.115 (0.034),0.898 (0.011),0.0112 (0.0001),0.095 (0.007),0.963 (0.008),0.425 (0.032),0.505 (0.007),0.402 (0.005),0.405 (0.024),0.149 (0.023),8.088 (1.413),21.60 (0.95)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.400 (0.004),0.662 (0.001),0.517 (0.003),0.0065 (0.0000),0.042 (0.004),0.987 (0.002),0.187 (0.016),0.502 (0.008),0.400 (0.006),0.406 (0.023),0.158 (0.019),1.542 (0.137),44.49 (1.96)
