method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,4.80 (0.20),0.900 (0.100),0.200 (0.200),0.469 (0.010),1.044 (0.027),0.550 (0.002),0.0068 (0.0001),0.053 (0.007),0.977 (0.008),0.211 (0.028),0.572 (0.008),0.463 (0.007),0.378 (0.024),0.138 (0.017),2.346 (0.362),43.24 (4.02)
PLS,4.70 (0.40),0.300 (0.153),0.900 (0.277),1.751 (0.032),1.862 (0.098),0.822 (0.024),0.0098 (0.0002),0.557 (0.005),0.412 (0.009),2.216 (0.016),0.575 (0.008),0.466 (0.008),0.366 (0.027),0.130 (0.019),16.231 (2.680),43.09 (2.20)
SPC,5.90 (0.59),0.400 (0.163),1.300 (0.496),0.651 (0.060),2.852 (0.095),0.939 (0.013),0.0115 (0.0003),0.177 (0.028),0.894 (0.039),0.703 (0.113),0.575 (0.010),0.467 (0.008),0.376 (0.023),0.130 (0.020),9.994 (1.030),442.32 (27.54)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.476 (0.005),1.071 (0.001),0.549 (0.002),0.0069 (0.0000),0.049 (0.004),0.983 (0.003),0.193 (0.017),0.572 (0.008),0.463 (0.007),0.380 (0.023),0.140 (0.016),1.900 (0.228),541.54 (5.58)
