method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.369 (0.005),0.340 (0.001),0.468 (0.004),0.0117 (0.0001),0.073 (0.008),0.964 (0.009),0.329 (0.038),1.005 (0.016),0.801 (0.011),0.209 (0.027),0.036 (0.013),2.189 (0.350),5.53 (0.79)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),0.955 (0.065),0.965 (0.082),0.971 (0.053),0.0158 (0.0009),0.141 (0.008),0.932 (0.015),0.631 (0.036),1.011 (0.015),0.805 (0.011),0.203 (0.029),0.023 (0.018),NA,4.46 (0.30)
SPC,7.50 (0.78),0.100 (0.100),4.500 (0.778),0.481 (0.025),2.224 (0.043),0.930 (0.013),0.0232 (0.0003),0.180 (0.020),0.869 (0.032),0.808 (0.089),1.013 (0.014),0.807 (0.011),0.195 (0.027),0.019 (0.016),4.952 (0.000),21.85 (0.95)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.369 (0.005),0.340 (0.001),0.468 (0.004),0.0117 (0.0001),0.068 (0.009),0.964 (0.009),0.305 (0.039),1.004 (0.016),0.800 (0.011),0.209 (0.027),0.037 (0.012),2.144 (0.329),45.84 (3.96)
