method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.672 (0.006),0.931 (0.006),0.624 (0.005),0.0078 (0.0001),0.100 (0.004),0.954 (0.003),0.313 (0.013),0.717 (0.014),0.571 (0.012),0.376 (0.029),0.126 (0.023),1.720 (0.263),0.25 (0.01)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),1.024 (0.028),1.060 (0.032),1.052 (0.022),0.0085 (0.0002),0.243 (0.006),0.904 (0.005),0.761 (0.020),0.733 (0.015),0.584 (0.013),0.353 (0.027),0.084 (0.034),NA,0.22 (0.01)
SPC,4.50 (0.73),0.500 (0.167),1.700 (0.684),1.163 (0.027),2.127 (0.028),0.949 (0.009),0.0117 (0.0001),0.208 (0.009),0.893 (0.007),0.651 (0.027),0.731 (0.016),0.584 (0.014),0.344 (0.021),0.091 (0.023),7.806 (1.792),1.09 (0.03)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.672 (0.006),0.931 (0.006),0.621 (0.005),0.0078 (0.0001),0.102 (0.005),0.954 (0.003),0.319 (0.015),0.716 (0.014),0.571 (0.012),0.376 (0.029),0.127 (0.024),2.253 (0.228),1.07 (0.01)
