method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.534 (0.005),1.981 (0.002),0.845 (0.001),0.0047 (0.0000),0.039 (0.002),0.990 (0.001),0.154 (0.009),0.373 (0.004),0.300 (0.003),0.546 (0.021),0.256 (0.015),2.340 (0.261),37.80 (2.41)
PLS,1.00 (0.00),0.000 (0.000),4.000 (0.000),1.126 (0.011),1.264 (0.010),1.248 (0.009),0.0035 (0.0000),0.205 (0.002),0.875 (0.004),0.816 (0.008),0.366 (0.005),0.297 (0.004),0.537 (0.023),0.281 (0.021),NA,45.61 (0.96)
SPC,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.899 (0.025),2.959 (0.019),0.981 (0.002),0.0055 (0.0000),0.165 (0.004),0.920 (0.003),0.655 (0.016),0.366 (0.005),0.296 (0.004),0.540 (0.023),0.283 (0.021),10.119 (1.135),503.27 (49.52)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.534 (0.005),1.981 (0.002),0.839 (0.001),0.0047 (0.0000),0.039 (0.002),0.990 (0.001),0.153 (0.009),0.373 (0.004),0.300 (0.003),0.546 (0.021),0.257 (0.015),2.013 (0.255),590.87 (11.54)
