method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,2.90 (0.10),0.900 (0.100),0.100 (0.100),1.467 (0.019),1.837 (0.026),1.271 (0.008),0.0070 (0.0001),0.220 (0.004),0.727 (0.011),0.688 (0.012),0.505 (0.013),0.400 (0.011),0.416 (0.022),0.126 (0.013),4.255 (0.517),0.10 (0.01)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),1.131 (0.014),1.273 (0.013),1.337 (0.010),0.0049 (0.0000),0.294 (0.006),0.768 (0.006),0.922 (0.018),0.510 (0.011),0.405 (0.010),0.369 (0.020),0.106 (0.024),NA,0.23 (0.01)
SPC,4.00 (0.92),0.200 (0.133),2.000 (0.715),1.729 (0.115),2.091 (0.133),1.234 (0.007),0.0063 (0.0003),0.274 (0.004),0.715 (0.005),0.859 (0.015),0.517 (0.013),0.412 (0.012),0.336 (0.026),0.082 (0.027),6.497 (3.779),1.12 (0.01)
SOLAR,2.70 (0.15),0.700 (0.153),0.300 (0.153),1.336 (0.049),1.711 (0.061),1.218 (0.012),0.0065 (0.0002),0.216 (0.005),0.747 (0.015),0.677 (0.017),0.503 (0.014),0.400 (0.011),0.402 (0.021),0.133 (0.016),4.579 (0.823),0.95 (0.04)
