method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.50 (0.43),0.000 (0.000),1.700 (0.335),1.945 (0.117),2.278 (0.141),1.664 (0.012),0.0079 (0.0005),0.297 (0.003),0.544 (0.013),0.840 (0.008),0.598 (0.014),0.476 (0.012),0.301 (0.030),0.043 (0.016),NA,0.10 (0.00)
PLS,1.00 (0.00),0.000 (0.000),4.000 (0.000),1.198 (0.009),1.350 (0.008),1.563 (0.010),0.0044 (0.0000),0.369 (0.005),0.691 (0.010),1.044 (0.016),0.589 (0.013),0.467 (0.011),0.336 (0.029),0.068 (0.037),NA,0.22 (0.01)
SPC,2.50 (0.97),0.000 (0.000),3.700 (0.335),1.546 (0.191),1.780 (0.225),1.401 (0.016),0.0049 (0.0005),0.332 (0.005),0.625 (0.017),0.938 (0.013),0.593 (0.017),0.471 (0.015),0.311 (0.026),0.060 (0.030),NA,1.15 (0.02)
SOLAR,1.30 (0.15),0.000 (0.000),3.700 (0.153),1.163 (0.063),1.378 (0.075),1.563 (0.025),0.0049 (0.0003),0.316 (0.008),0.435 (0.052),0.893 (0.022),0.600 (0.016),0.478 (0.013),0.253 (0.047),0.040 (0.021),NA,0.62 (0.04)
