method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.929 (0.004),2.027 (0.002),0.906 (0.001),0.0051 (0.0000),0.075 (0.001),0.956 (0.001),0.298 (0.003),0.367 (0.008),0.292 (0.007),0.553 (0.013),0.261 (0.010),2.612 (0.252),4.13 (0.42)
PLS,1.00 (0.00),0.000 (0.000),4.000 (0.000),1.130 (0.012),1.269 (0.011),1.262 (0.010),0.0036 (0.0000),0.209 (0.004),0.854 (0.005),0.836 (0.015),0.362 (0.008),0.289 (0.006),0.532 (0.016),0.279 (0.017),NA,4.41 (0.28)
SPC,4.80 (0.44),0.400 (0.163),1.000 (0.298),1.533 (0.057),2.735 (0.104),1.022 (0.001),0.0054 (0.0002),0.169 (0.002),0.886 (0.004),0.676 (0.010),0.363 (0.009),0.289 (0.007),0.529 (0.016),0.275 (0.017),9.392 (1.021),23.59 (2.02)
SOLAR,4.90 (0.10),0.900 (0.100),0.100 (0.100),0.919 (0.010),2.002 (0.024),0.898 (0.002),0.0050 (0.0000),0.079 (0.005),0.948 (0.009),0.315 (0.020),0.367 (0.008),0.293 (0.006),0.543 (0.015),0.258 (0.013),2.404 (0.276),52.49 (1.35)
