method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,1.60 (0.27),0.000 (0.000),3.400 (0.267),0.364 (0.029),0.483 (0.038),0.546 (0.014),0.0082 (0.0006),0.301 (0.018),0.462 (0.107),0.856 (0.052),1.643 (0.023),1.314 (0.023),0.126 (0.039),0.013 (0.011),NA,1.50 (0.12)
PLS,4.20 (0.44),0.100 (0.100),1.400 (0.221),1.695 (0.040),1.664 (0.103),0.808 (0.019),0.0182 (0.0004),1.583 (0.025),0.195 (0.014),4.498 (0.094),1.639 (0.023),1.310 (0.025),0.191 (0.034),0.016 (0.019),35.811 (0.000),2.65 (0.18)
SPC,4.20 (1.07),0.100 (0.100),3.000 (0.471),0.818 (0.076),2.180 (0.222),0.972 (0.021),0.0188 (0.0014),0.445 (0.099),0.782 (0.065),1.268 (0.286),1.636 (0.028),1.308 (0.027),0.214 (0.035),0.020 (0.024),11.786 (0.000),7.33 (0.11)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.503 (0.011),0.782 (0.002),0.506 (0.005),0.0127 (0.0001),0.161 (0.011),0.909 (0.016),0.457 (0.032),1.617 (0.027),1.295 (0.026),0.232 (0.035),0.044 (0.014),5.141 (0.889),26.21 (0.34)
