method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.30 (0.42),0.300 (0.153),1.700 (0.423),0.414 (0.023),0.466 (0.028),0.486 (0.003),0.0101 (0.0006),0.131 (0.016),0.834 (0.047),0.521 (0.062),1.107 (0.025),0.889 (0.022),0.186 (0.022),0.033 (0.009),3.149 (0.606),4.07 (0.36)
PLS,2.20 (0.66),0.000 (0.000),3.200 (0.416),1.235 (0.113),1.217 (0.142),0.982 (0.060),0.0149 (0.0009),0.459 (0.139),0.707 (0.113),1.837 (0.558),1.121 (0.027),0.896 (0.022),0.179 (0.026),0.007 (0.017),NA,4.27 (0.19)
SPC,5.70 (1.11),0.200 (0.133),2.900 (0.586),0.731 (0.095),2.425 (0.171),0.930 (0.020),0.0204 (0.0011),0.176 (0.018),0.890 (0.019),0.701 (0.072),1.112 (0.024),0.895 (0.022),0.197 (0.020),0.024 (0.014),11.230 (0.810),16.95 (0.66)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.489 (0.005),0.562 (0.001),0.480 (0.002),0.0120 (0.0001),0.084 (0.007),0.947 (0.010),0.334 (0.027),1.103 (0.024),0.887 (0.022),0.208 (0.018),0.039 (0.009),3.033 (0.326),51.19 (1.02)
