method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,5.00 (0.00),1.000 (0.000),0.000 (0.000),1.071 (0.009),2.430 (0.004),1.182 (0.002),0.0066 (0.0000),0.131 (0.002),0.931 (0.003),0.372 (0.008),0.562 (0.008),0.450 (0.009),0.553 (0.026),0.200 (0.014),4.214 (0.906),1.47 (0.13)
PLS,1.00 (0.00),0.000 (0.000),4.000 (0.000),1.173 (0.009),1.337 (0.007),1.407 (0.006),0.0040 (0.0000),0.385 (0.009),0.756 (0.010),1.095 (0.030),0.546 (0.007),0.438 (0.008),0.531 (0.024),0.243 (0.015),NA,2.33 (0.19)
SPC,3.60 (0.76),0.000 (0.000),2.400 (0.400),1.649 (0.157),2.302 (0.235),1.159 (0.026),0.0050 (0.0004),0.342 (0.011),0.783 (0.018),0.973 (0.037),0.557 (0.007),0.446 (0.008),0.485 (0.030),0.210 (0.023),NA,9.37 (0.16)
SOLAR,1.50 (0.17),0.000 (0.000),3.500 (0.167),0.554 (0.025),1.254 (0.071),1.087 (0.006),0.0036 (0.0002),0.304 (0.006),0.500 (0.026),0.862 (0.016),0.610 (0.007),0.488 (0.007),0.298 (0.036),0.057 (0.014),NA,13.33 (0.80)
