method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,2.20 (0.33),0.600 (0.163),0.800 (0.327),0.383 (0.036),0.400 (0.036),0.494 (0.009),0.0107 (0.0008),0.183 (0.027),0.786 (0.070),0.570 (0.082),1.434 (0.030),1.146 (0.024),0.152 (0.045),0.013 (0.020),2.638 (0.436),0.10 (0.00)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),0.987 (0.055),0.995 (0.068),0.994 (0.044),0.0161 (0.0007),0.277 (0.011),0.930 (0.012),0.867 (0.034),1.446 (0.032),1.155 (0.025),0.184 (0.035),-0.005 (0.029),NA,0.23 (0.00)
SPC,4.20 (0.49),0.200 (0.133),1.600 (0.340),0.845 (0.054),2.118 (0.051),0.933 (0.012),0.0227 (0.0003),0.290 (0.019),0.863 (0.019),0.907 (0.058),1.442 (0.031),1.150 (0.025),0.181 (0.027),0.002 (0.021),6.873 (2.043),1.00 (0.02)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.453 (0.009),0.481 (0.003),0.491 (0.007),0.0123 (0.0002),0.102 (0.009),0.959 (0.007),0.317 (0.027),1.425 (0.029),1.137 (0.024),0.193 (0.035),0.025 (0.019),2.315 (0.244),1.06 (0.01)
