method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.70 (0.30),0.300 (0.153),1.300 (0.300),0.953 (0.037),1.287 (0.051),0.741 (0.009),0.0082 (0.0002),0.169 (0.008),0.882 (0.012),0.477 (0.023),0.795 (0.022),0.639 (0.018),0.423 (0.035),0.137 (0.025),3.888 (0.672),0.10 (0.00)
PLS,1.00 (0.00),0.000 (0.000),4.000 (0.000),1.143 (0.019),1.233 (0.027),1.198 (0.020),0.0075 (0.0001),0.355 (0.008),0.837 (0.009),1.005 (0.023),0.797 (0.019),0.637 (0.016),0.407 (0.033),0.126 (0.038),NA,0.25 (0.01)
SPC,3.90 (0.87),0.100 (0.100),2.300 (0.559),1.544 (0.105),2.255 (0.209),1.032 (0.017),0.0103 (0.0008),0.278 (0.008),0.831 (0.008),0.786 (0.022),0.803 (0.020),0.642 (0.018),0.381 (0.033),0.117 (0.032),9.220 (0.000),1.08 (0.03)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),1.080 (0.004),1.497 (0.006),0.730 (0.002),0.0091 (0.0000),0.144 (0.003),0.920 (0.004),0.408 (0.009),0.788 (0.020),0.633 (0.017),0.431 (0.033),0.150 (0.026),3.952 (0.634),1.49 (0.02)
