method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,2.10 (0.28),0.000 (0.000),2.900 (0.277),0.510 (0.061),0.582 (0.067),0.560 (0.021),0.0097 (0.0008),0.261 (0.015),0.687 (0.049),0.739 (0.041),1.562 (0.039),1.256 (0.031),0.227 (0.037),0.024 (0.020),NA,0.10 (0.00)
PLS,1.00 (0.00),0.000 (0.000),4.000 (0.000),1.122 (0.042),1.193 (0.058),1.137 (0.040),0.0143 (0.0005),0.455 (0.015),0.855 (0.017),1.289 (0.044),1.572 (0.037),1.265 (0.031),0.254 (0.034),0.009 (0.030),NA,0.23 (0.01)
SPC,3.70 (0.86),0.000 (0.000),2.700 (0.335),1.179 (0.148),2.131 (0.210),0.967 (0.018),0.0186 (0.0014),0.361 (0.033),0.782 (0.035),1.021 (0.097),1.564 (0.046),1.256 (0.039),0.230 (0.035),0.022 (0.027),NA,0.99 (0.02)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.665 (0.004),0.785 (0.004),0.523 (0.002),0.0131 (0.0001),0.164 (0.013),0.891 (0.019),0.464 (0.035),1.551 (0.040),1.246 (0.034),0.255 (0.034),0.038 (0.019),5.282 (0.673),1.41 (0.01)
