method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.392 (0.005),0.901 (0.002),0.565 (0.003),0.0071 (0.0000),0.063 (0.005),0.987 (0.002),0.195 (0.014),0.719 (0.013),0.568 (0.013),0.379 (0.024),0.134 (0.017),1.717 (0.100),2.27 (0.31)
PLS,2.50 (0.72),0.200 (0.133),1.900 (0.379),1.204 (0.055),1.171 (0.075),0.955 (0.055),0.0091 (0.0001),0.419 (0.078),0.708 (0.091),1.310 (0.243),0.729 (0.014),0.578 (0.013),0.355 (0.028),0.108 (0.020),14.686 (3.299),2.07 (0.04)
SPC,4.40 (0.79),0.700 (0.153),1.400 (0.792),0.591 (0.021),2.170 (0.024),0.917 (0.008),0.0115 (0.0001),0.187 (0.022),0.926 (0.024),0.586 (0.071),0.722 (0.015),0.573 (0.015),0.372 (0.026),0.125 (0.024),6.030 (0.634),9.01 (0.17)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.392 (0.005),0.901 (0.002),0.563 (0.003),0.0070 (0.0000),0.064 (0.005),0.987 (0.002),0.200 (0.014),0.719 (0.013),0.568 (0.013),0.379 (0.024),0.134 (0.016),1.814 (0.111),23.47 (1.03)
