method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.557 (0.004),1.077 (0.002),0.561 (0.002),0.0070 (0.0000),0.050 (0.003),0.982 (0.002),0.202 (0.011),0.553 (0.012),0.444 (0.011),0.403 (0.015),0.157 (0.012),2.413 (0.419),4.39 (0.64)
PLS,1.80 (0.61),0.000 (0.000),3.600 (0.267),1.204 (0.106),1.254 (0.076),1.054 (0.043),0.0075 (0.0004),0.235 (0.053),0.832 (0.075),0.943 (0.215),0.563 (0.013),0.450 (0.011),0.379 (0.021),0.124 (0.021),NA,4.67 (0.20)
SPC,5.70 (0.45),0.400 (0.163),1.100 (0.348),0.795 (0.006),2.711 (0.066),0.911 (0.001),0.0112 (0.0002),0.118 (0.007),0.953 (0.006),0.472 (0.029),0.556 (0.013),0.447 (0.011),0.397 (0.016),0.147 (0.017),7.956 (1.480),17.51 (0.60)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.557 (0.004),1.077 (0.002),0.559 (0.002),0.0070 (0.0000),0.050 (0.003),0.982 (0.002),0.201 (0.011),0.553 (0.012),0.444 (0.011),0.403 (0.015),0.157 (0.012),2.474 (0.320),52.85 (1.40)
