method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,4.30 (0.37),0.700 (0.153),0.700 (0.367),0.568 (0.020),1.329 (0.055),0.657 (0.014),0.0076 (0.0002),0.116 (0.014),0.942 (0.015),0.330 (0.040),0.817 (0.014),0.655 (0.014),0.402 (0.037),0.149 (0.023),3.039 (0.422),1.69 (0.20)
PLS,2.90 (0.71),0.200 (0.133),2.500 (0.543),1.471 (0.115),1.672 (0.154),1.025 (0.052),0.0089 (0.0005),0.588 (0.070),0.622 (0.085),1.669 (0.198),0.822 (0.014),0.659 (0.014),0.400 (0.031),0.139 (0.025),14.984 (3.651),2.41 (0.16)
SPC,5.40 (0.86),0.400 (0.163),1.800 (0.629),1.133 (0.097),2.680 (0.180),0.975 (0.017),0.0111 (0.0006),0.310 (0.024),0.877 (0.019),0.882 (0.071),0.822 (0.013),0.655 (0.012),0.403 (0.027),0.139 (0.026),10.127 (1.670),8.40 (0.28)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.578 (0.010),1.441 (0.003),0.644 (0.004),0.0080 (0.0001),0.093 (0.005),0.970 (0.004),0.264 (0.015),0.814 (0.013),0.652 (0.013),0.418 (0.030),0.156 (0.019),2.882 (0.277),27.15 (0.47)
