method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,2.40 (0.27),0.600 (0.163),0.600 (0.267),0.320 (0.017),0.410 (0.029),0.474 (0.004),0.0107 (0.0005),0.162 (0.029),0.812 (0.062),0.505 (0.090),1.437 (0.027),1.135 (0.026),0.176 (0.029),0.025 (0.012),2.199 (0.226),2.45 (0.45)
PLS,2.70 (0.76),0.100 (0.100),2.100 (0.314),1.355 (0.104),1.003 (0.118),1.005 (0.058),0.0192 (0.0006),0.730 (0.185),0.625 (0.123),2.283 (0.578),1.455 (0.028),1.152 (0.027),0.168 (0.027),0.001 (0.014),21.767 (0.000),2.41 (0.19)
SPC,3.70 (1.00),0.400 (0.163),1.900 (0.809),0.561 (0.068),1.861 (0.107),0.911 (0.012),0.0205 (0.0008),0.251 (0.050),0.855 (0.045),0.782 (0.155),1.437 (0.027),1.140 (0.026),0.194 (0.027),0.025 (0.015),7.563 (2.038),9.02 (0.20)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.356 (0.006),0.474 (0.001),0.472 (0.004),0.0118 (0.0001),0.115 (0.010),0.955 (0.009),0.357 (0.032),1.433 (0.026),1.134 (0.026),0.195 (0.026),0.030 (0.010),2.851 (0.187),21.79 (1.47)
