method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.619 (0.005),1.640 (0.003),0.934 (0.002),0.0052 (0.0000),0.086 (0.002),0.966 (0.002),0.268 (0.006),0.480 (0.008),0.382 (0.008),0.528 (0.019),0.217 (0.014),1.631 (0.094),2.00 (0.21)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),1.120 (0.006),1.253 (0.007),1.242 (0.005),0.0045 (0.0000),0.289 (0.004),0.826 (0.006),0.902 (0.014),0.469 (0.009),0.372 (0.009),0.510 (0.024),0.249 (0.022),NA,2.44 (0.21)
SPC,3.70 (0.33),0.400 (0.163),0.900 (0.277),1.110 (0.007),2.228 (0.040),1.028 (0.004),0.0057 (0.0001),0.239 (0.004),0.868 (0.006),0.747 (0.014),0.468 (0.009),0.370 (0.010),0.517 (0.023),0.254 (0.021),10.196 (1.124),9.52 (0.17)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.618 (0.005),1.640 (0.003),0.927 (0.002),0.0052 (0.0000),0.085 (0.002),0.967 (0.002),0.265 (0.006),0.479 (0.008),0.381 (0.008),0.528 (0.019),0.220 (0.014),1.661 (0.112),22.63 (0.92)
