method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.360 (0.006),0.341 (0.001),0.466 (0.004),0.0117 (0.0001),0.065 (0.006),0.972 (0.007),0.288 (0.027),0.984 (0.013),0.787 (0.010),0.202 (0.025),0.035 (0.010),2.037 (0.183),59.51 (2.45)
PLS,3.70 (0.70),0.000 (0.000),1.900 (0.379),1.010 (0.134),0.498 (0.086),0.715 (0.059),0.0155 (0.0010),0.743 (0.138),0.428 (0.114),3.298 (0.611),0.990 (0.014),0.794 (0.010),0.183 (0.029),0.023 (0.013),NA,50.88 (2.33)
SPC,5.60 (0.93),0.500 (0.167),2.600 (0.933),0.388 (0.009),2.194 (0.053),0.918 (0.017),0.0230 (0.0004),0.226 (0.067),0.804 (0.079),1.001 (0.296),0.989 (0.013),0.792 (0.010),0.195 (0.027),0.025 (0.015),5.312 (1.164),554.06 (13.16)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.360 (0.006),0.341 (0.001),0.466 (0.004),0.0116 (0.0001),0.064 (0.005),0.972 (0.007),0.286 (0.023),0.984 (0.012),0.787 (0.010),0.202 (0.025),0.035 (0.010),2.158 (0.160),452.11 (19.62)
