method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.60 (0.31),0.300 (0.153),1.400 (0.306),0.427 (0.018),0.497 (0.020),0.483 (0.005),0.0106 (0.0003),0.122 (0.008),0.887 (0.014),0.486 (0.034),1.144 (0.017),0.928 (0.015),0.181 (0.023),0.028 (0.009),2.938 (0.521),40.92 (3.21)
PLS,4.70 (0.40),0.300 (0.153),0.900 (0.277),1.593 (0.063),1.624 (0.138),0.730 (0.034),0.0173 (0.0006),1.112 (0.009),0.222 (0.010),4.421 (0.032),1.148 (0.018),0.932 (0.016),0.169 (0.027),0.021 (0.012),31.907 (2.336),44.82 (2.44)
SPC,5.20 (0.65),0.400 (0.163),1.400 (0.452),0.481 (0.012),2.538 (0.101),0.891 (0.002),0.0211 (0.0006),0.355 (0.100),0.745 (0.090),1.414 (0.400),1.147 (0.019),0.933 (0.017),0.187 (0.024),0.022 (0.012),11.265 (1.697),382.58 (9.13)
SOLAR,5.00 (0.00),1.000 (0.000),0.000 (0.000),0.469 (0.005),0.561 (0.001),0.476 (0.002),0.0119 (0.0001),0.091 (0.009),0.937 (0.013),0.363 (0.035),1.142 (0.017),0.925 (0.015),0.190 (0.021),0.031 (0.009),3.127 (0.404),602.21 (3.53)
