method,q_hat,rank_correct,rank_abs_error,H_projector_error,V_projector_error,X_signal_recon_error,X_signal_rmse,supervised_signal_rmse,supervised_signal_corr,supervised_signal_rel_error,rmse_w,mae_w,corr_w,R2_w,beta_l2_error,runtime_sec
PCR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.574 (0.003),1.316 (0.002),0.744 (0.002),0.0042 (0.0000),0.055 (0.001),0.973 (0.001),0.245 (0.006),0.326 (0.005),0.259 (0.004),0.568 (0.019),0.294 (0.015),1.408 (0.209),5.49 (0.65)
PLS,1.00 (0.00),0.000 (0.000),2.000 (0.000),1.036 (0.017),1.132 (0.018),1.111 (0.013),0.0040 (0.0000),0.157 (0.003),0.899 (0.005),0.704 (0.014),0.326 (0.005),0.258 (0.003),0.547 (0.022),0.291 (0.026),NA,4.77 (0.25)
SPC,3.80 (0.49),0.600 (0.163),0.800 (0.490),0.981 (0.029),2.196 (0.013),0.959 (0.004),0.0054 (0.0000),0.126 (0.004),0.924 (0.005),0.566 (0.017),0.326 (0.005),0.259 (0.003),0.549 (0.020),0.294 (0.022),7.541 (1.069),22.08 (1.09)
SOLAR,3.00 (0.00),1.000 (0.000),0.000 (0.000),0.573 (0.003),1.316 (0.002),0.740 (0.002),0.0041 (0.0000),0.055 (0.001),0.973 (0.001),0.246 (0.006),0.325 (0.005),0.259 (0.004),0.568 (0.019),0.298 (0.016),1.381 (0.131),48.03 (2.26)
