method,selected_rank,rmse,correlation,R2,runtime_sec
PCR,5,4.26554644532261,0.287444082297103,0.0702563332248032,19.650362
PLS,5,3.63122066654091,0.57328216518597,0.326218377446423,29.1820269
SOLAR,5,4.29742455178403,0.287444289952294,0.0563077252628454,87.0066801
