method,selected_rank,rmse,correlation,R2,runtime_sec
PCR,5,0.692645106407124,0.417093399618106,0.170787315850265,21.2294943
PLS,5,0.61180473302816,0.60131259634605,0.353050977360317,29.700548
SOLAR,5,0.692907872296915,0.417093488377396,0.170158046585107,92.3930431
