factor,d,beta,d_squared,d_squared_prop,d_squared_abs_beta,d_squared_abs_beta_prop
1,1074.178,-11.71751,1153859,0.6364987,1.352036e+07,0.6571333
2,521.3826,8.197254,271839.8,0.1499539,2228340,0.1083046
3,459.9512,-8.533513,211555.1,0.1166993,1805308,0.08774384
4,371.9984,21.33522,138382.8,0.07633554,2952428,0.1434976
5,192.8354,-1.837334,37185.48,0.02051248,68322.16,0.003320678
