iter,q_current,q_best,obj_best,q_accepted
267,5,5,-390883968,0
268,5,5,-390883968,0
269,5,5,-390883968,0
270,5,5,-390883968,0
271,5,5,-390883968,0
272,5,5,-390883968,0
273,5,5,-390883968,0
274,5,5,-390883968,0
275,5,5,-390883968,0
276,5,5,-390883968,0
277,5,5,-390883968,0
278,5,5,-390883968,0
279,5,5,-390883968,0
280,5,5,-390883968,0
281,5,5,-390883968,0
282,5,5,-390883968,0
283,5,5,-390883968,0
284,5,5,-390883968,0
285,5,5,-390883968,0
286,5,5,-390883968,0
287,5,5,-390883968,0
288,5,5,-390883968,0
289,5,5,-390883968,0
290,5,5,-390883968,0
291,5,5,-390883968,0
292,5,5,-390883968,0
293,5,5,-390883968,0
294,5,5,-390883968,0
295,5,5,-390883968,0
296,5,5,-390883968,0
297,5,5,-390883968,0
298,5,5,-390883968,0
299,5,5,-390883968,0
300,5,5,-390883968,0
301,5,5,-390883968,0
302,5,5,-390883968,0
303,5,5,-390883968,0
304,5,5,-390883968,0
305,5,5,-390883968,0
306,5,5,-390883968,0
307,5,5,-390883968,0
308,5,5,-390883968,0
309,5,5,-390883968,0
310,5,5,-390883968,0
311,5,5,-390883968,0
312,5,5,-390883968,0
313,5,5,-390883968,0
314,5,5,-390883968,0
315,5,5,-390883968,0
316,5,5,-390883968,0
317,5,5,-390883968,0
318,5,5,-390883968,0
319,5,5,-390883968,0
320,5,5,-390883968,0
321,5,5,-390883968,0
322,5,5,-390883968,0
323,5,5,-390883968,0
324,5,5,-390883968,0
325,5,5,-390883968,0
326,5,5,-390883968,0
327,5,5,-390883968,0
328,5,5,-390883968,0
329,5,5,-390883968,0
330,5,5,-390883968,0
331,5,5,-390883968,0
332,5,5,-390883968,0
333,5,5,-390883968,0
334,5,5,-390883968,0
335,5,5,-390883968,0
336,5,5,-390883968,0
337,5,5,-390883968,0
338,5,5,-390883968,0
339,5,5,-390883968,0
340,5,5,-390883968,0
341,5,5,-390883968,0
342,5,5,-390883968,0
343,5,5,-390883968,0
344,5,5,-390883968,0
345,5,5,-390883968,0
346,5,5,-390883968,0
347,5,5,-390883968,0
348,5,5,-390883968,0
349,5,5,-390883968,0
350,5,5,-390883968,0
351,5,5,-390883968,0
352,5,5,-390883968,0
353,5,5,-390883968,0
354,5,5,-390883968,0
355,5,5,-390883968,0
356,5,5,-390883968,0
357,5,5,-390883968,0
358,5,5,-390883968,0
359,5,5,-390883968,0
360,5,5,-390883968,0
361,5,5,-390883968,0
362,5,5,-390883968,0
363,5,5,-390883968,0
364,5,5,-390883968,0
365,5,5,-390883968,0
366,5,5,-390883968,0
367,5,5,-390883968,0
368,5,5,-390883968,0
369,5,5,-390883968,0
370,5,5,-390883968,0
371,5,5,-390883968,0
372,5,5,-390883968,0
373,5,5,-390883968,0
374,5,5,-390883968,0
375,5,5,-390883968,0
376,5,5,-390883968,0
377,5,5,-390883968,0
378,5,5,-390883968,0
379,5,5,-390883968,0
380,5,5,-390883968,0
381,5,5,-390883968,0
382,5,5,-390883968,0
383,5,5,-390883968,0
384,5,5,-390883968,0
385,5,5,-390883968,0
386,5,5,-390883968,0
387,5,5,-390883968,0
388,5,5,-390883968,0
389,5,5,-390883968,0
390,5,5,-390883968,0
391,5,5,-390883968,0
392,5,5,-390883968,0
393,5,5,-390883968,0
394,5,5,-390883968,0
395,5,5,-390883968,0
396,5,5,-390883968,0
397,5,5,-390883968,0
398,5,5,-390883968,0
399,5,5,-390883968,0
400,5,5,-390883968,0
401,5,5,-390883968,0
402,5,5,-390883968,0
403,5,5,-390883968,0
404,5,5,-390883968,0
405,5,5,-390883968,0
406,5,5,-390883968,0
407,5,5,-390883968,0
408,5,5,-390883968,0
409,5,5,-390883968,0
410,5,5,-390883968,0
411,5,5,-390883968,0
412,5,5,-390883968,0
413,5,5,-390883968,0
414,5,5,-390883968,0
415,5,5,-390883968,0
416,5,5,-390883968,0
417,5,5,-390883968,0
418,5,5,-390883968,0
419,5,5,-390883968,0
420,5,5,-390883968,0
421,5,5,-390883968,0
422,5,5,-390883968,0
423,5,5,-390883968,0
424,5,5,-390883968,0
425,5,5,-390883968,0
426,5,5,-390883968,0
427,5,5,-390883968,0
428,5,5,-390883968,0
429,5,5,-390883968,0
430,5,5,-390883968,0
431,5,5,-390883968,0
432,5,5,-390883968,0
433,5,5,-390883968,0
434,5,5,-390883968,0
435,5,5,-390883968,0
436,5,5,-390883968,0
437,5,5,-390883968,0
438,5,5,-390883968,0
439,5,5,-390883968,0
440,5,5,-390883968,0
441,5,5,-390883968,0
442,5,5,-390883968,0
443,5,5,-390883968,0
444,5,5,-390883968,0
445,5,5,-390883968,0
446,5,5,-390883968,0
447,5,5,-390883968,0
448,5,5,-390883968,0
449,5,5,-390883968,0
450,5,5,-390883968,0
451,5,5,-390883968,0
452,5,5,-390883968,0
453,5,5,-390883968,0
454,5,5,-390883968,0
455,5,5,-390883968,0
456,5,5,-390883968,0
457,5,5,-390883968,0
458,5,5,-390883968,0
459,5,5,-390883968,0
460,5,5,-390883968,0
461,5,5,-390883968,0
462,5,5,-390883968,0
463,5,5,-390883968,0
464,5,5,-390883968,0
465,5,5,-390883968,0
466,5,5,-390883968,0
467,5,5,-390883968,0
468,5,5,-390883968,0
469,5,5,-390883968,0
470,5,5,-390883968,0
471,5,5,-390883968,0
472,5,5,-390883968,0
473,5,5,-390883968,0
474,5,5,-390883968,0
475,5,5,-390883968,0
476,5,5,-390883968,0
477,5,5,-390883968,0
478,5,5,-390883968,0
479,5,5,-390883968,0
480,5,5,-390883968,0
481,5,5,-390883968,0
482,5,5,-390883968,0
483,5,5,-390883968,0
484,5,5,-390883968,0
485,5,5,-390883968,0
486,5,5,-390883968,0
487,5,5,-390883968,0
488,5,5,-390883968,0
489,5,5,-390883968,0
490,5,5,-390883968,0
491,5,5,-390883968,0
492,5,5,-390883968,0
493,5,5,-390883968,0
494,5,5,-390883968,0
495,5,5,-390883968,0
496,5,5,-390883968,0
497,5,5,-390883968,0
498,5,5,-390883968,0
499,5,5,-390883968,0
500,5,5,-390883968,0
