rank,CpG_index,importance,importance_scaled,loading_V_factor_01,loading_V_factor_02,loading_V_factor_03,loading_V_factor_04,loading_V_factor_05,importance_component_factor_01,importance_component_factor_02,importance_component_factor_03,importance_component_factor_04,importance_component_factor_05
1,376150,416.7793,3.819815e-05,-0.005968019,0.001559389,-0.007335214,0.01442797,-0.003979493,334.101,0.8124669,54.98598,26.25012,0.6297852
2,112694,387.1531,3.548289e-05,-0.00640424,0.0001618111,-0.001429981,0.00156366,-0.0006998498,384.7269,0.008748092,2.089715,0.3083225,0.0194781
3,118906,386.6345,3.543535e-05,-0.006386416,0.0002031311,-0.001826701,0.002047713,-0.001533652,382.5884,0.01378636,3.410055,0.5287608,0.09353849
4,15104,367.5292,3.368434e-05,-0.006249871,9.825316e-05,-0.0006101144,0.002358739,-0.001010187,366.4034,0.003225446,0.3804072,0.7015854,0.04058268
5,103927,350.91,3.216118e-05,-0.00610035,0.0002018697,-0.001116414,0.0016999,-0.002108249,349.0815,0.01361567,1.273727,0.3643911,0.1767587
6,30587,349.6228,3.20432e-05,-0.005980214,0.0001705948,-0.003272478,0.005035599,-0.0003011399,335.4677,0.009723628,10.94409,3.197593,0.003606397
7,109417,340.5891,3.121525e-05,-0.006005971,0.0001752127,-0.001384678,0.001414592,-0.0002846821,338.3638,0.01025717,1.959404,0.2523382,0.003222977
8,80843,339.3762,3.110409e-05,-0.005971124,0.0003382958,-0.00187017,0.003224263,0.0003169357,334.4487,0.03823753,3.574281,1.310936,0.003994654
9,99378,336.665,3.085561e-05,0.004404492,-0.001250668,0.0112746,-0.008060836,0.02010142,181.9739,0.5226136,129.9058,8.193719,16.06906
10,5210,334.7851,3.068331e-05,-0.005594911,0.001899513,-0.005282118,0.009179628,-0.004508372,293.6322,1.205539,28.51297,10.62603,0.8083073
11,22554,330.7643,3.03148e-05,-0.005931473,7.713159e-06,0.0004495959,0.002058018,0.0002161571,330.0217,1.987748e-05,0.2065718,0.5340958,0.001858129
12,457217,330.5198,3.02924e-05,-0.005838627,0.0005570197,-0.003126512,0.001833528,-0.002414634,319.7708,0.1036663,9.98956,0.4239317,0.2318673
13,504796,324.5791,2.974793e-05,-0.005876259,8.954792e-05,0.0001843982,-0.000426123,0.003924626,323.9062,0.002679216,0.03474879,0.02289765,0.6125388
