sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
717,72,0.357963824499107,0.3851316,-0.02716774,0.01256307,-0.02403972,0.08799721,0.1103979,-0.1245815
718,48,2.0844626508861,1.709582,0.3748806,-0.1352099,-0.02835785,0.1084976,-0.009684664,-0.03983178
719,48,0.484674191926004,0.227958,0.2567162,-0.0288966,0.03170914,0.009156464,-0.0001114579,0.01151742
720,48,-0.213968157162534,-0.2125412,-0.001426935,0.01982498,-0.03012772,-0.002282607,0.05401028,0.02633085
721,72,0.565282461638544,-0.133225,0.6985074,-0.005442438,0.03425335,-0.02311515,0.02447331,0.001315293
722,3,0.735075539855208,0.01968449,0.715391,0.03003815,-0.03714797,0.03459222,-0.01817234,-0.03231557
723,48,-0.597668508965845,0.3967111,-0.9943796,-0.02892672,-0.02784585,0.04637812,0.05267769,0.04554422
724,9,-0.0285928187456646,-0.2895447,0.2609519,0.02877212,0.02622356,-0.007298287,-0.02588473,0.01097974
725,48,-0.0909861178317272,0.05199809,-0.1429842,-0.01431985,0.03000307,-0.004484191,0.01582883,-0.0079915
726,9,0.304318342157838,0.08211222,0.2222061,0.009808526,-0.03429033,0.01204816,-0.02249562,-0.03834241
727,9,0.390941723274545,0.1057977,0.285144,-0.007606846,0.02455034,0.0134509,-0.03547111,0.02166286
728,48,-0.639174177851459,0.4208367,-1.060011,-0.05507395,0.0323745,0.008296661,-0.008671209,0.03279881
729,48,0.291699713784519,0.2140321,0.07766757,-0.02404845,-0.02837298,0.006186999,0.02259215,0.02397768
730,48,0.065670913674768,0.2048559,-0.139185,-0.006845478,-0.02913497,0.02569847,0.03555026,-0.02024521
731,9,-0.167752613681925,-0.0857999,-0.08195271,0.02314392,-0.03433548,0.0155383,0.01066047,0.004860154
732,9,0.21124880681721,-0.2045088,0.4157576,0.02533807,0.02831411,0.01283728,0.007261179,0.0178758
733,3,-0.276157489588266,-0.142337,-0.1338205,0.02861359,-0.03087089,-4.480074e-05,-0.04374726,-0.01186238
734,9,0.028448509232698,-0.2164207,0.2448692,0.02311997,0.02964193,0.003892698,-0.006652224,0.01580244
735,48,0.0248990666675868,0.05211464,-0.02721557,-0.02163605,0.02924762,-0.0002975226,0.02035467,0.06343674
736,72,1.05067259694777,0.139447,0.9112256,-0.02399123,-0.02803562,-0.01501231,0.01401412,0.004449889
737,9,-0.125476922558831,0.02032451,-0.1458014,0.008162018,-0.0337868,0.01125994,-0.004975657,0.01288125
738,48,0.905737493853231,0.4794578,0.4262797,-0.05208523,-0.02763755,0.006324213,-0.004623885,0.01187771
739,72,-1.26474086813199,-0.323294,-0.9414469,0.01240338,0.03827204,-0.03482362,0.02487022,-0.01445854
740,48,1.10476650304287,0.0642697,1.040497,0.0138654,0.03462633,0.04779315,0.05683025,-0.03783514
741,72,-0.778103941650095,-0.3752674,-0.4028366,0.02382363,-0.0280809,-0.04736686,0.03282186,-0.03984715
742,9,-0.336609630339452,-0.2649407,-0.07166895,0.02209811,0.02742578,-0.009486098,-0.02864521,0.02979476
743,9,-0.44675413492479,-0.1346314,-0.3121228,0.0158012,0.03160565,0.01788774,0.01133411,0.04059076
744,48,1.1820440930336,-0.2419145,1.423959,0.0196292,0.03226197,1.721342e-05,0.03664294,0.008768796
745,3,-0.261117812886042,-0.0160008,-0.245117,0.02953496,-0.03842976,0.03198006,-0.02960062,0.004289198
746,72,-0.187732753362234,0.01700446,-0.2047372,0.01627738,0.04333829,0.05059554,0.073331,-0.02338827
747,72,0.0183974601013963,0.05409832,-0.03570086,-0.02315274,-0.0266727,-0.03067771,0.0265823,-0.005152842
748,72,-0.543413902435161,-0.2560914,-0.2873225,0.01208264,-0.02953937,-0.04509714,0.00882206,-0.02965567
749,48,0.483455790274159,0.1172166,0.3662392,-0.01783813,0.03128251,0.0006803104,0.007087275,-0.01292443
750,48,-0.948982182556509,-0.2280845,-0.7208977,0.001468316,0.03155843,-0.02836834,0.01266401,0.02691315
751,9,-0.0902447827148272,0.5981724,-0.6884172,0.01737867,-0.03130615,0.1433788,0.08107944,-0.07690597
752,48,-0.52227727133932,-0.1246672,-0.3976101,0.004935591,0.03345603,0.008206402,0.03581687,0.04715174
753,48,-0.297844373182192,0.1093179,-0.4071623,-0.0106338,-0.02765968,0.01678647,0.05357363,0.04057782
754,72,-0.619423931163109,-0.2819535,-0.3374704,0.01488476,0.03254762,-0.02771986,0.03175959,-0.0391808
755,3,-0.373251775893711,-0.1873727,-0.185879,0.02839986,0.02333908,0.01392042,-0.03892328,0.02854092
756,9,-0.238546704852045,-0.1346837,-0.103863,0.01130258,-0.03297408,-0.01023917,-0.008027514,0.03850614
757,72,-2.12069926084706,-0.2814271,-1.839272,0.006351741,0.03262499,-0.03837927,0.01135835,-0.005661946
758,9,0.378012814619569,-0.2361722,0.614185,0.01847101,-0.03294557,-0.0249741,-0.02067482,0.02309954
759,9,-0.240338457887894,-0.2094368,-0.03090161,0.02437875,0.02837568,0.006576783,-0.01210074,0.01792504
760,72,-1.16174880193622,-0.1369333,-1.024815,-0.0013707,0.03229262,-0.02799569,0.001975038,-0.02679015
761,3,0.119616329899596,-0.1761106,0.2957269,0.0286832,-0.03743928,-0.003884128,-0.04248204,0.008317488
762,72,-0.304425468886444,0.02681594,-0.3312414,-0.0151629,-0.02724097,-0.02743034,0.02517566,-0.02385776
763,3,-0.39135226073189,-0.009300672,-0.3820516,0.02297186,-0.03664398,0.0182052,-0.03279405,-0.01363725
764,72,-0.818519102643154,0.0977575,-0.9162766,0.01953858,0.03265092,0.06104085,0.08131494,-0.07102678
765,72,-0.508832939371351,0.1359773,-0.6448102,-0.0314593,0.03270865,-0.01828764,-0.009873392,0.0002115245
766,48,1.43955124271595,1.130375,0.309176,-0.09983232,0.03154988,0.06830866,-0.00641858,-0.02032858
767,3,-0.180363228401781,-0.1844779,0.004114697,0.02771208,0.02564248,0.0047866,-0.05000591,-0.003398407
768,48,3.76143507579285,1.361423,2.400012,-0.1345033,0.02628456,0.04966252,-0.06465749,-0.001364906
769,72,0.110128688493186,-0.07377712,0.1839058,-0.008266076,-0.02644742,-0.0385999,0.02851641,-0.03643476
770,48,-0.243321730000159,0.2960891,-0.5394108,-0.02739131,-0.02798244,0.02738464,0.04609538,0.04793344
771,48,3.41652496498452,0.8689164,2.547609,-0.09754689,-0.02637687,0.006148801,-0.04464816,0.02515407
772,3,-0.167351656556882,0.03686161,-0.2042133,0.02139812,-0.03667661,0.02354827,-0.0278999,-0.02483718
773,3,-0.0876643826638074,0.09113424,-0.1787986,0.0003637187,-0.03542835,-0.004635363,-0.05791352,-0.0188548
774,48,-0.210732649369897,-0.1893469,-0.02138577,0.0153428,-0.03081219,-0.01714078,0.02109576,0.0004334948
775,48,1.3897393624238,-0.1999675,1.589707,0.02308007,-0.03162517,-0.0104204,0.02040533,-0.01657297
776,9,0.404305432103717,-0.01439468,0.4187001,0.02472766,0.02443053,0.03203424,-0.007474344,-0.05152139
777,72,-0.127653026294147,-0.2256415,0.09798843,0.01934191,-0.02863559,0.001615032,0.07599833,0.03940737
778,9,-0.461756518428279,-0.2481648,-0.2135917,0.02472171,-0.03339249,-0.01488665,-0.007471707,0.02162595
779,3,-0.660784573673888,-0.06382547,-0.5969591,0.02514889,0.01941941,0.02453853,-0.05185131,0.001211287
780,48,1.61757580177475,0.03399844,1.583577,-0.002434375,0.02831541,-0.004988234,-0.02417096,-0.04776331
781,3,-0.394746029038768,-0.1832344,-0.2115116,0.02485028,-0.03555123,0.001124157,-0.02339634,0.0483046
782,48,0.00669705558268,-0.244161,0.250858,0.0152176,0.03259972,-0.003672683,0.02903043,0.03383568
783,48,-0.00238184139575078,-0.1632086,0.1608267,0.00331997,0.03413066,-0.01664965,0.01587445,-0.0005842788
784,72,-0.725742186810307,0.1111647,-0.8369069,-0.02767526,-0.02659732,-0.04080215,0.005374178,-0.05188187
785,9,0.187824983040888,-0.06871437,0.2565393,0.01277283,-0.03426268,-0.002529351,-0.01005746,0.003680145
786,48,0.581209997126605,0.419867,0.161343,-0.03884481,0.02748344,0.04083888,0.0223832,0.03648986
787,48,-0.170989976516572,-0.3755441,0.2045541,0.01641354,0.03258992,-0.03018356,0.02078636,0.03488361
788,48,0.726222973264598,-0.2815454,1.007768,0.01645082,0.03438271,-0.007099952,0.03669681,0.03535568
789,3,-0.411105875911073,-0.2446616,-0.1664443,0.02751816,0.02322851,-0.001525996,-0.04130511,0.02119783
790,48,0.778006259191044,0.4093996,0.3686067,-0.0427438,0.03073419,0.01702762,-0.01140428,-0.006584204
791,72,-0.763224383528545,-0.3159777,-0.4472467,0.02162695,-0.02961736,-0.04035053,0.02586182,-0.03919971
792,9,0.338270946927917,-0.2017836,0.5400546,0.02290219,-0.03465426,-0.0124575,-0.01956013,0.0148108
793,48,1.16304523740362,0.1736259,0.9894194,-0.03903673,-0.0270481,-0.02773363,-0.003359227,0.04306725
794,48,0.17704148888965,0.09957185,0.07746963,-0.02454601,0.03428281,-0.005590578,0.01170901,0.01885351
795,9,-0.0698526959489583,-0.2484237,0.178571,0.03070531,0.02380335,0.001409999,-0.03298018,0.005995984
