iter,q_current,q_best,obj_best,q_accepted
245,5,5,-390883808,0
246,5,5,-390883808,0
247,5,5,-390883808,0
248,5,5,-390883808,0
249,5,5,-390883808,0
250,5,5,-390883808,0
251,5,5,-390883808,0
252,5,5,-390883808,0
253,5,5,-390883808,0
254,5,5,-390883808,0
255,5,5,-390883808,0
256,5,5,-390883808,0
257,5,5,-390883808,0
258,5,5,-390883808,0
259,5,5,-390883808,0
260,5,5,-390883808,0
261,5,5,-390883808,0
262,5,5,-390883808,0
263,5,5,-390883808,0
264,5,5,-390883808,0
265,5,5,-390883808,0
266,5,5,-390883808,0
267,5,5,-390883808,0
268,5,5,-390883808,0
269,5,5,-390883808,0
270,5,5,-390883808,0
271,5,5,-390883808,0
272,5,5,-390883808,0
273,5,5,-390883808,0
274,5,5,-390883808,0
275,5,5,-390883808,0
276,5,5,-390883808,0
277,5,5,-390883808,0
278,5,5,-390883808,0
279,5,5,-390883808,0
280,5,5,-390883808,0
281,5,5,-390883808,0
282,5,5,-390883808,0
283,5,5,-390883808,0
284,5,5,-390883808,0
285,5,5,-390883808,0
286,5,5,-390883808,0
287,5,5,-390883808,0
288,5,5,-390883808,0
289,5,5,-390883808,0
290,5,5,-390883808,0
291,5,5,-390883808,0
292,5,5,-390883808,0
293,5,5,-390883808,0
294,5,5,-390883808,0
295,5,5,-390883808,0
296,5,5,-390883808,0
297,5,5,-390883808,0
298,5,5,-390883808,0
299,5,5,-390883808,0
300,5,5,-390883808,0
301,5,5,-390883808,0
302,5,5,-390883808,0
303,5,5,-390883808,0
304,5,5,-390883808,0
305,5,5,-390883808,0
306,5,5,-390883808,0
307,5,5,-390883808,0
308,5,5,-390883808,0
309,5,5,-390883808,0
310,5,5,-390883808,0
311,5,5,-390883808,0
312,5,5,-390883808,0
313,5,5,-390883808,0
314,5,5,-390883808,0
315,5,5,-390883808,0
316,5,5,-390883808,0
317,5,5,-390883808,0
318,5,5,-390883808,0
319,5,5,-390883808,0
320,5,5,-390883808,0
321,5,5,-390883808,0
322,5,5,-390883808,0
323,5,5,-390883808,0
324,5,5,-390883808,0
325,5,5,-390883808,0
326,5,5,-390883808,0
327,5,5,-390883808,0
328,5,5,-390883808,0
329,5,5,-390883808,0
330,5,5,-390883808,0
331,5,5,-390883808,0
332,5,5,-390883808,0
333,5,5,-390883808,0
334,5,5,-390883808,0
335,5,5,-390883808,0
336,5,5,-390883808,0
337,5,5,-390883808,0
338,5,5,-390883808,0
339,5,5,-390883808,0
340,5,5,-390883808,0
341,5,5,-390883808,0
342,5,5,-390883808,0
343,5,5,-390883808,0
344,5,5,-390883808,0
345,5,5,-390883808,0
346,5,5,-390883808,0
347,5,5,-390883808,0
348,5,5,-390883808,0
349,5,5,-390883808,0
350,5,5,-390883808,0
351,5,5,-390883808,0
352,5,5,-390883808,0
353,5,5,-390883808,0
354,5,5,-390883808,0
355,5,5,-390883808,0
356,5,5,-390883808,0
357,5,5,-390883808,0
358,5,5,-390883808,0
359,5,5,-390883808,0
360,5,5,-390883808,0
361,5,5,-390883808,0
362,5,5,-390883808,0
363,5,5,-390883808,0
364,5,5,-390883808,0
365,5,5,-390883808,0
366,5,5,-390883808,0
367,5,5,-390883808,0
368,5,5,-390883808,0
369,5,5,-390883808,0
370,5,5,-390883808,0
371,5,5,-390883808,0
372,5,5,-390883808,0
373,5,5,-390883808,0
374,5,5,-390883808,0
375,5,5,-390883808,0
376,5,5,-390883808,0
377,5,5,-390883808,0
378,5,5,-390883808,0
379,5,5,-390883808,0
380,5,5,-390883808,0
381,5,5,-390883808,0
382,5,5,-390883808,0
383,5,5,-390883808,0
384,5,5,-390883808,0
385,5,5,-390883808,0
386,5,5,-390883808,0
387,5,5,-390883808,0
388,5,5,-390883808,0
389,5,5,-390883808,0
390,5,5,-390883808,0
391,5,5,-390883808,0
392,5,5,-390883808,0
393,5,5,-390883808,0
394,5,5,-390883808,0
395,5,5,-390883808,0
396,5,5,-390883808,0
397,5,5,-390883808,0
398,5,5,-390883808,0
399,5,5,-390883808,0
400,5,5,-390883808,0
401,5,5,-390883808,0
402,5,5,-390883808,0
403,5,5,-390883808,0
404,5,5,-390883808,0
405,5,5,-390883808,0
406,5,5,-390883808,0
407,5,5,-390883808,0
408,5,5,-390883808,0
409,5,5,-390883808,0
410,5,5,-390883808,0
411,5,5,-390883808,0
412,5,5,-390883808,0
413,5,5,-390883808,0
414,5,5,-390883808,0
415,5,5,-390883808,0
416,5,5,-390883808,0
417,5,5,-390883808,0
418,5,5,-390883808,0
419,5,5,-390883808,0
420,5,5,-390883808,0
421,5,5,-390883808,0
422,5,5,-390883808,0
423,5,5,-390883808,0
424,5,5,-390883808,0
425,5,5,-390883808,0
426,5,5,-390883808,0
427,5,5,-390883808,0
428,5,5,-390883808,0
429,5,5,-390883808,0
430,5,5,-390883808,0
431,5,5,-390883808,0
432,5,5,-390883808,0
433,5,5,-390883808,0
434,5,5,-390883808,0
435,5,5,-390883808,0
436,5,5,-390883808,0
437,5,5,-390883808,0
438,5,5,-390883808,0
439,5,5,-390883808,0
440,5,5,-390883808,0
441,5,5,-390883808,0
442,5,5,-390883808,0
443,5,5,-390883808,0
444,5,5,-390883808,0
445,5,5,-390883808,0
446,5,5,-390883808,0
447,5,5,-390883808,0
448,5,5,-390883808,0
449,5,5,-390883808,0
450,5,5,-390883808,0
451,5,5,-390883808,0
452,5,5,-390883808,0
453,5,5,-390883808,0
454,5,5,-390883808,0
455,5,5,-390883808,0
456,5,5,-390883808,0
457,5,5,-390883808,0
458,5,5,-390883808,0
459,5,5,-390883808,0
460,5,5,-390883808,0
461,5,5,-390883808,0
462,5,5,-390883808,0
463,5,5,-390883808,0
464,5,5,-390883808,0
465,5,5,-390883808,0
466,5,5,-390883808,0
467,5,5,-390883808,0
468,5,5,-390883808,0
469,5,5,-390883808,0
470,5,5,-390883808,0
471,5,5,-390883808,0
472,5,5,-390883808,0
473,5,5,-390883808,0
474,5,5,-390883808,0
475,5,5,-390883808,0
476,5,5,-390883808,0
477,5,5,-390883808,0
478,5,5,-390883808,0
479,5,5,-390883808,0
480,5,5,-390883808,0
481,5,5,-390883808,0
482,5,5,-390883808,0
483,5,5,-390883808,0
484,5,5,-390883808,0
485,5,5,-390883808,0
486,5,5,-390883808,0
487,5,5,-390883808,0
488,5,5,-390883808,0
489,5,5,-390883808,0
490,5,5,-390883808,0
491,5,5,-390883808,0
492,5,5,-390883808,0
493,5,5,-390883808,0
494,5,5,-390883808,0
495,5,5,-390883808,0
496,5,5,-390883808,0
497,5,5,-390883808,0
498,5,5,-390883808,0
499,5,5,-390883808,0
500,5,5,-390883808,0
