rank,CpG_index,importance,importance_scaled,loading_V_factor_01,loading_V_factor_02,loading_V_factor_03,loading_V_factor_04,loading_V_factor_05,importance_component_factor_01,importance_component_factor_02,importance_component_factor_03,importance_component_factor_04,importance_component_factor_05
181,57492,709.8264,3.447875e-05,-0.0005859444,0.0176411,-0.001456896,-0.00163002,0.000659702,4.641956,693.4783,3.831851,7.8445,0.02973426
182,3205,709.6924,3.447225e-05,-0.0006267259,0.01754847,-0.001651162,-0.002107204,0.001407795,5.310599,686.2148,4.921874,13.10969,0.1354068
183,318765,709.0068,3.443895e-05,0.0005752685,-0.01757487,0.002088036,0.001684005,-0.0003382979,4.474344,688.2811,7.870952,8.372705,0.007819163
184,34316,708.3759,3.44083e-05,-0.0006066902,0.01754936,-0.00162926,-0.002034323,0.001235245,4.97648,686.2845,4.792167,12.21853,0.104248
185,54598,707.7524,3.437802e-05,-0.0005757261,0.0175596,-0.001849588,-0.001826494,0.001532293,4.481466,687.0851,6.175917,9.849539,0.160415
186,56532,707.0682,3.434478e-05,-0.0005605075,0.0175595,-0.00284596,-0.0006076065,0.0006750427,4.247674,687.0774,14.62207,1.089994,0.03113323
187,859073,706.4644,3.431545e-05,0.0005560228,-0.01756354,0.002151191,0.001487703,-0.0001601822,4.179973,687.3939,8.354289,6.534492,0.001753032
188,88058,706.3455,3.430968e-05,-0.0006127314,0.01752825,-0.001814999,-0.001893374,0.001236176,5.076081,684.6339,5.947085,10.58406,0.1044051
189,70765,706.1434,3.429986e-05,-0.001972061,-0.001389356,-0.01190765,-0.01098117,0.02335308,52.58101,4.301385,255.9785,356.0219,37.26059
190,28502,706.0712,3.429636e-05,-0.0005991582,0.01758882,-0.002014796,-0.001232024,0.0006975419,4.853681,689.3743,7.328474,4.481442,0.03324315
191,210562,705.4697,3.426714e-05,0.0002880495,-0.002039619,-0.00777662,-0.01406815,0.004804465,1.121818,9.269997,109.1775,584.3233,1.577072
192,669869,705.4224,3.426484e-05,0.0005913341,-0.01755465,0.001837948,0.001635556,6.633204e-05,4.727745,686.698,6.098425,7.897873,0.0003006133
193,724232,705.1398,3.425111e-05,-0.0005680397,0.01760491,-0.001428563,-0.00147612,0.0005885167,4.362603,690.6361,3.68426,6.433131,0.02366351
194,261990,704.1621,3.420362e-05,0.0005496016,-0.01755731,0.00138887,0.001811535,-0.0001101113,4.083985,686.9061,3.482366,9.688864,0.0008283715
195,743532,704.0639,3.419885e-05,0.0005890063,-0.01751211,0.001890401,0.001798223,-0.0001314697,4.690598,683.3737,6.451476,9.546987,0.001180899
196,167309,703.7244,3.418236e-05,0.0006598321,-0.01758177,0.001734983,0.001093675,0.0008604825,5.886474,688.8215,5.434278,3.531472,0.05058778
197,130092,703.1614,3.415501e-05,-0.0005707391,0.01755171,-0.001861458,-0.001414696,0.001351076,4.404164,686.4682,6.255442,5.908882,0.1247158
198,128135,702.5616,3.412588e-05,-0.000588193,0.0175191,-0.002156817,-0.001363891,0.001043531,4.677652,683.9195,8.398038,5.492104,0.07439987
199,71834,702.2926,3.411281e-05,-0.0005384597,0.01751139,-0.002330757,-0.001319976,0.001228519,3.920078,683.3182,9.807205,5.144123,0.1031158
200,48710,701.8971,3.409361e-05,-0.0004962881,0.01755143,-0.002107869,-0.001163406,0.001232319,3.33009,686.4459,8.021184,3.996149,0.1037547
