sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
1,9,-0.409003580972458,-0.1451783,-0.2638253,-0.02876213,0.02690091,0.01433639,-0.02780366,-0.006980003
2,3,-5.36803799870349,-0.5032785,-4.864759,-0.0130213,0.02451127,-0.00123062,-0.0450992,-0.05166117
3,9,1.25685910513444,-0.05463686,1.311496,-0.02701097,-0.03553377,-0.005226566,-0.004027218,0.02097513
4,3,-0.395250511555835,-0.6340523,0.2388018,-0.0258875,0.02133267,-0.009355269,-0.05457217,0.01512123
5,3,-5.25751911623897,0.05061393,-5.308133,-0.02565904,0.02401279,-0.02975043,-0.03183789,0.01169758
6,9,1.28270767390563,-0.3334418,1.616149,-0.02320106,-0.03507488,0.001366515,-0.01487711,-0.006141935
7,72,-0.238347133132039,0.8030355,-1.041383,-0.01416082,0.03770304,0.04092213,0.02761863,-0.04789786
8,9,1.27528914117637,0.3027658,0.9725233,-0.02437901,0.02374635,-0.01816839,-0.0143222,0.01470793
9,72,-1.19892798457423,0.3046568,-1.503585,-0.01539872,-0.0274449,0.04900352,0.03248565,-0.04042742
10,48,11.1499276870207,0.2540891,10.89584,0.02688539,-0.02768505,-0.01077919,0.03648515,0.04046231
11,9,2.97710163467513,1.248796,1.728306,-0.02285713,0.02527955,-0.05463672,0.01654035,0.02470475
12,72,0.790081630889068,0.4574885,0.3325931,-0.01749333,-0.02841283,0.0403025,0.03641021,-0.02858469
13,3,-9.46352222732684,-0.3815981,-9.081924,-0.02486732,0.02428841,-0.001942063,-0.04072091,0.01081052
14,9,1.02619022169341,0.1213935,0.9047967,-0.0170855,-0.03423154,-0.02258482,0.001937526,0.01756172
15,48,3.43514375645361,-2.000069,5.435213,0.09070969,-0.02694983,-0.009353876,-0.03679441,0.006023662
16,48,1.13479673900671,-0.7346357,1.869432,0.03108969,-0.02946301,0.003323742,-0.004003927,0.008184837
17,3,-1.80958599577612,-0.6539418,-1.155644,-0.02346393,0.02577529,0.001268408,-0.05247767,0.005290588
18,48,-5.38654471543272,1.332595,-6.71914,0.02121647,0.03520957,-0.03954901,0.04523258,0.005421882
19,48,6.1652056125431,-0.3642974,6.529503,0.03732385,0.02798861,-0.009303357,-0.01046327,0.006824374
20,9,-5.57454051427478,-0.5065571,-5.067984,-0.002763952,-0.03355755,-0.006214818,-0.01540772,-0.006438152
21,9,1.58226251243228,-0.2487141,1.830977,-0.02611202,-0.03468497,0.004578858,-0.01014808,0.008041631
22,3,-3.85691978383038,-0.7924958,-3.064424,-0.0261882,-0.03593029,0.009443551,-0.03258424,0.01580981
23,72,6.96334655787421,0.1052148,6.858132,0.003961683,0.03779313,0.05329572,0.01156994,-0.02709821
24,48,6.56283764897852,2.067185,4.495652,0.01505385,0.04346934,-0.05399497,0.06755836,0.008103875
25,72,1.84384503765148,0.05391495,1.78993,-0.01826012,-0.02916439,0.04636339,0.01883646,-0.03961292
26,48,4.23807194096939,1.870726,2.367346,-0.01063547,0.03708191,-0.01730431,0.06062967,-0.0005012107
27,9,3.8849220364604,-0.6549032,4.539825,-0.02487772,-0.03498612,0.01410751,-0.02762327,-0.02727714
28,9,6.18207045492201,0.08521568,6.096855,-0.02550884,-0.0346009,0.004693162,0.005937579,0.009079685
29,72,-8.9378489653035,-0.1410363,-8.796813,0.03242729,0.03476781,0.03467856,0.009011424,-0.03134949
30,72,2.40689991318977,-0.5860207,2.992921,0.04718179,0.03703839,0.0208365,-0.007260804,0.002210409
31,48,9.48928317642403,-0.532892,10.02217,0.06571537,0.03072676,-0.02326321,-0.006889682,0.03606886
32,48,-7.99363305924849,-0.7606711,-7.232962,0.05740925,-0.02816961,-0.01652137,0.001826282,0.02014529
33,48,7.67007173737464,0.5133662,7.156705,0.01648331,-0.0287677,-0.02614893,0.03344,-0.003120721
34,9,-4.76211415930538,1.171201,-5.933315,-0.02419827,0.02697753,-0.02738951,0.02168114,0.0162108
35,48,9.81321624144695,0.5181416,9.295074,-0.002864786,0.03105881,0.0163541,0.01750393,0.00213119
36,3,-1.92284182818565,-0.4241628,-1.498679,-0.02528224,0.02275673,-0.0193035,-0.0490961,0.01317181
37,72,-4.83555811727499,0.8589187,-5.694477,-0.01325094,0.03746143,0.06106665,0.04421351,0.01394523
38,72,-2.33630970792388,0.3652138,-2.701524,-0.01008175,0.0353047,0.04335783,0.0150894,-0.003123019
39,3,1.26188503998974,-1.111429,2.373314,-0.01382652,-0.03572398,0.006394715,-0.04812532,-0.05482465
40,72,-6.23365231027287,0.70847,-6.942122,-0.01883573,0.03227234,0.03319434,0.02080855,-0.03403135
41,72,0.503704682257334,0.439122,0.06458269,-0.01864523,0.03138761,0.03047061,0.01142138,0.0110498
42,9,4.38283664193613,0.4434166,3.93942,-0.02752169,-0.03622543,-0.03683381,0.007230411,0.02759664
43,48,-7.84537283841189,-2.517553,-5.32782,0.114092,-0.02653835,-0.01642058,-0.04884357,0.03329516
44,3,-5.3178905649004,-0.8617862,-4.456104,-0.02494654,-0.03725535,-0.00892271,-0.04831481,-0.05766997
45,72,-0.85161435252772,0.1220293,-0.9736436,0.01592205,-0.02741031,0.01383403,0.0256994,-0.05607897
46,72,-6.81029204091384,0.02369899,-6.833991,0.03114286,-0.02803595,-0.01082117,0.02662499,0.02283688
47,48,2.15791411857338,1.022473,1.135441,-0.01750064,0.03025092,0.002542433,0.0267376,-0.01125416
48,72,-6.03045945054992,-1.483025,-4.547435,0.03958839,-0.02802415,0.04190246,-0.02242983,-0.02541423
49,72,1.81477531699001,0.1828752,1.6319,0.007967515,0.03648867,0.03950789,0.01250167,-0.02587608
50,9,-0.496288735269942,0.6225907,-1.118879,-0.02078142,0.02909485,-0.009677145,0.008825067,0.07090631
51,48,2.90494160061599,-1.272513,4.177455,0.06648344,-0.02727377,-0.005054513,-0.01302684,0.01911743
52,48,-1.19441386814879,-0.6994655,-0.4949484,0.04098383,0.02988688,0.0006543829,-0.01941496,0.02417676
53,48,-2.66928298326178,-0.4117561,-2.257527,0.0332583,-0.029001,-0.004600149,0.0106381,0.0275097
54,9,4.73384821192467,0.5321619,4.201686,-0.02819731,0.02685354,-0.007085819,0.001664654,0.06223605
55,3,0.578468183247645,-0.7202697,1.298738,-0.02289059,0.02104724,0.003508286,-0.05602536,-0.03495906
56,9,0.20645200286198,0.6153616,-0.4089096,-0.02162769,0.02707021,-0.02763549,-0.001945406,0.02954529
57,9,6.71445200023886,-0.5093237,7.223776,-0.0175697,-0.03474034,-0.0001956583,-0.02080119,-0.006371617
58,3,-2.75536152610834,-1.149513,-1.605849,-0.02284392,-0.03656759,0.009525768,-0.04850357,0.0007132203
59,3,-8.41730040303142,-1.806156,-6.611145,0.03914308,-0.03258045,-0.0097163,-0.05868454,-0.04828041
60,9,-3.13511688136723,0.1250582,-3.260175,-0.02658257,-0.03473599,-0.01383923,0.001141642,0.02402283
61,72,-8.22910147986736,-2.098924,-6.130177,0.08002658,-0.02513896,0.02900317,-0.03459674,-0.01659277
62,3,-2.21987505676852,-0.7347733,-1.485102,-0.0246347,-0.03783455,-0.01597235,-0.03924369,0.006704703
63,9,-1.14601607604926,0.1588678,-1.304884,-0.02550395,0.02827457,-0.001671703,-0.01496173,0.03635847
64,9,-0.256269202812432,-0.3933012,0.137032,-0.01916842,-0.03418119,-0.001844997,-0.01594129,0.007265346
